Survey,Total Points,Unique Conversations,Clusters Represented,Main Clusters
Construct Elaboration,752,60,7,"0, 1, 2"
Contrast and Reflection,508,58,7,"0, 2, 4"
Neutural,1756,140,7,"0, 1, 6"
Positive,562,55,7,"0, 2, 4"
Praise,518,45,7,"0, 2, 4"
